id,categoria,n,m,P,metodo,stato,cmax,tempo_sec,memoria_mb,risolto
small_00,small,14,2,706,DP,OK,353,0.0003895759582519531,0.020814895629882812,True
small_00,small,14,2,706,PLI,OK,353,0.7104177474975586,112.37109375,True
small_01,small,10,2,594,DP,OK,297,0.0006897449493408203,0.01445770263671875,True
small_01,small,10,2,594,PLI,OK,297,0.6894474029541016,99.6640625,True
small_02,small,8,2,346,DP,OK,173,0.00033164024353027344,0.0074329376220703125,True
small_02,small,8,2,346,PLI,OK,173,0.5437581539154053,97.83984375,True
small_03,small,11,2,595,DP,OK,298,0.0002751350402832031,0.015506744384765625,True
small_03,small,11,2,595,PLI,OK,298,0.5590496063232422,99.74609375,True
small_04,small,11,2,426,DP,OK,213,0.00024509429931640625,0.013078689575195312,True
small_04,small,11,2,426,PLI,OK,213,0.6657304763793945,99.828125,True
small_05,small,12,2,764,DP,OK,382,0.0004382133483886719,0.020946502685546875,True
small_05,small,12,2,764,PLI,OK,382,0.6701385974884033,112.51171875,True
small_06,small,9,2,442,DP,OK,222,0.0003185272216796875,0.010637283325195312,True
small_06,small,9,2,442,PLI,OK,222,0.7016198635101318,113.4609375,True
small_07,small,13,2,482,DP,OK,241,0.0003376007080078125,0.015626907348632812,True
small_07,small,13,2,482,PLI,OK,241,0.7158365249633789,99.7890625,True
small_08,small,11,2,389,DP,OK,195,0.00029349327087402344,0.01200103759765625,True
small_08,small,11,2,389,PLI,OK,195,0.6593914031982422,113.87109375,True
small_09,small,15,2,743,DP,OK,372,0.0003218650817871094,0.022747039794921875,True
small_09,small,15,2,743,PLI,OK,372,0.6005182266235352,99.9140625,True
medium_00,medium,24,2,2469,DP,OK,1235,0.001711130142211914,0.07822608947753906,True
medium_00,medium,24,2,2469,PLI,OK,1235,0.6797571182250977,113.92578125,True
medium_01,medium,20,2,2252,DP,OK,1126,0.0006351470947265625,0.06958484649658203,True
medium_01,medium,20,2,2252,PLI,OK,1126,0.7247879505157471,99.765625,True
medium_02,medium,18,2,1806,DP,OK,903,0.0006520748138427734,0.0547332763671875,True
medium_02,medium,18,2,1806,PLI,OK,903,0.767418384552002,99.44921875,True
medium_03,medium,21,2,2332,DP,OK,1166,0.0005629062652587891,0.07075119018554688,True
medium_03,medium,21,2,2332,PLI,OK,1166,0.6944334506988525,113.60546875,True
medium_04,medium,21,2,1872,DP,OK,936,0.0012433528900146484,0.059253692626953125,True
medium_04,medium,21,2,1872,PLI,OK,936,0.5950660705566406,113.328125,True
medium_05,medium,27,2,2770,DP,OK,1385,0.0005886554718017578,0.08838748931884766,True
medium_05,medium,27,2,2770,PLI,OK,1385,0.6315069198608398,99.9765625,True
medium_06,medium,27,2,2878,DP,OK,1439,0.0006396770477294922,0.0933990478515625,True
medium_06,medium,27,2,2878,PLI,OK,1439,0.6110658645629883,112.5234375,True
medium_07,medium,23,2,1716,DP,OK,858,0.0005726814270019531,0.055904388427734375,True
medium_07,medium,23,2,1716,PLI,OK,858,0.5314121246337891,99.63671875,True
medium_08,medium,21,2,1834,DP,OK,917,0.0003662109375,0.05726814270019531,True
