id,categoria,n,m,P,metodo,stato,cmax,tempo_sec,memoria_mb,risolto
small_00,small,14,2,706,DP,OK,353,0.0005066394805908203,0.020814895629882812,True
small_00,small,14,2,706,PLI,OK,353,0.6880481243133545,112.48046875,True
small_01,small,10,2,594,DP,OK,297,0.000240325927734375,0.014009475708007812,True
small_01,small,10,2,594,PLI,OK,297,0.6606009006500244,99.828125,True
small_02,small,8,2,346,DP,OK,173,0.00021982192993164062,0.0074329376220703125,True
small_02,small,8,2,346,PLI,OK,173,0.6305418014526367,112.27734375,True
small_03,small,11,2,595,DP,OK,298,0.0002586841583251953,0.015506744384765625,True
small_03,small,11,2,595,PLI,OK,298,0.6326444149017334,99.828125,True
small_04,small,11,2,426,DP,OK,213,0.00024628639221191406,0.013078689575195312,True
small_04,small,11,2,426,PLI,OK,213,0.6319639682769775,113.625,True
small_05,small,12,2,764,DP,OK,382,0.0004911422729492188,0.020946502685546875,True
small_05,small,12,2,764,PLI,OK,382,0.5690004825592041,99.73828125,True
small_06,small,9,2,442,DP,OK,222,0.0002486705780029297,0.010637283325195312,True
small_06,small,9,2,442,PLI,OK,222,0.5244383811950684,113.546875,True
small_07,small,13,2,482,DP,OK,241,0.00027680397033691406,0.015626907348632812,True
small_07,small,13,2,482,PLI,OK,241,0.5057511329650879,99.66796875,True
small_08,small,11,2,389,DP,OK,195,0.00024127960205078125,0.01200103759765625,True
small_08,small,11,2,389,PLI,OK,195,0.677976131439209,112.60546875,True
small_09,small,15,2,743,DP,OK,372,0.0005633831024169922,0.023195266723632812,True
small_09,small,15,2,743,PLI,OK,372,0.6651804447174072,113.5859375,True
medium_00,medium,24,2,2469,DP,OK,1235,0.0024251937866210938,0.07878684997558594,True
medium_00,medium,24,2,2469,PLI,OK,1235,0.6744763851165771,114.02734375,True
medium_01,medium,20,2,2252,DP,OK,1126,0.0006682872772216797,0.06931686401367188,True
medium_01,medium,20,2,2252,PLI,OK,1126,0.5030651092529297,113.4765625,True
medium_02,medium,18,2,1806,DP,OK,903,0.0003495216369628906,0.05428504943847656,True
medium_02,medium,18,2,1806,PLI,OK,903,0.5608093738555908,111.5,True
medium_03,medium,21,2,2332,DP,OK,1166,0.0005550384521484375,0.07075119018554688,True
medium_03,medium,21,2,2332,PLI,OK,1166,0.533672571182251,114.41015625,True
medium_04,medium,21,2,1872,DP,OK,936,0.0005319118499755859,0.05920886993408203,True
medium_04,medium,21,2,1872,PLI,OK,936,0.5262739658355713,114.1953125,True
medium_05,medium,27,2,2770,DP,OK,1385,0.0005941390991210938,0.08843231201171875,True
medium_05,medium,27,2,2770,PLI,OK,1385,0.5251853466033936,99.75,True
medium_06,medium,27,2,2878,DP,OK,1439,0.0006315708160400391,0.0933990478515625,True
medium_06,medium,27,2,2878,PLI,OK,1439,0.5026063919067383,99.71875,True
medium_07,medium,23,2,1716,DP,OK,858,0.0005691051483154297,0.055904388427734375,True
medium_07,medium,23,2,1716,PLI,OK,858,0.5008001327514648,113.375,True
medium_08,medium,21,2,1834,DP,OK,917,0.0005795955657958984,0.05771636962890625,True
medium_08,medium,21,2,1834,PLI,OK,917,0.5243866443634033,113.50390625,True
medium_09,medium,25,2,2632,DP,OK,1316,0.0005848407745361328,0.08422565460205078,True
medium_09,medium,25,2,2632,PLI,OK,1316,0.5566160678863525,114.5703125,True
large_00,large,42,2,6815,DP,OK,3408,0.002324819564819336,0.22122859954833984,True
large_00,large,42,2,6815,PLI,OK,3408,0.5408556461334229,99.52734375,True
large_01,large,34,2,4997,DP,OK,2499,0.0008466243743896484,0.16292476654052734,True
large_01,large,34,2,4997,PLI,OK,2499,0.5590248107910156,114.0703125,True
large_02,large,31,2,4945,DP,OK,2473,0.0006730556488037109,0.15547752380371094,True
large_02,large,31,2,4945,PLI,OK,2473,0.556976318359375,99.1640625,True
large_03,large,37,2,6084,DP,OK,3042,0.0007674694061279297,0.19614887237548828,True
large_03,large,37,2,6084,PLI,OK,3042,0.5001842975616455,99.87109375,True
large_04,large,37,2,5110,DP,OK,2555,0.0007619857788085938,0.16363525390625,True
large_04,large,37,2,5110,PLI,OK,2555,0.5582830905914307,113.796875,True
large_05,large,49,2,6263,DP,OK,3132,0.0011553764343261719,0.20360088348388672,True
large_05,large,49,2,6263,PLI,OK,3132,0.500150203704834,94.12109375,True
large_06,large,48,2,7259,DP,OK,3630,0.0008909702301025391,0.23526954650878906,True
large_06,large,48,2,7259,PLI,OK,3630,0.5294389724731445,114.62109375,True
large_07,large,40,2,5985,DP,OK,2993,0.0008287429809570312,0.19316673278808594,True
large_07,large,40,2,5985,PLI,OK,2993,0.526505708694458,99.4765625,True
large_08,large,37,2,5405,DP,OK,2703,0.0008614063262939453,0.1740550994873047,True
large_08,large,37,2,5405,PLI,OK,2703,0.4990658760070801,93.74609375,True
large_09,large,44,2,5691,DP,OK,2846,0.00080108642578125,0.18448829650878906,True
large_09,large,44,2,5691,PLI,OK,2846,0.5019426345825195,113.44921875,True
large_n_00,large_n,594,2,14775,DP,OK,7388,0.06249642372131348,0.7743864059448242,True
large_n_00,large_n,594,2,14775,PLI,OK,7388,0.529932975769043,100.546875,True
large_n_01,large_n,337,2,8645,DP,OK,4323,0.005605936050415039,0.2816753387451172,True
large_n_01,large_n,337,2,8645,PLI,OK,4323,0.5270750522613525,111.66796875,True
large_n_02,large_n,257,2,6590,DP,OK,3295,0.003321409225463867,0.2150421142578125,True
large_n_02,large_n,257,2,6590,PLI,OK,3295,0.5002610683441162,113.16015625,True
large_n_03,large_n,443,2,11125,DP,OK,5563,0.00587773323059082,0.3620891571044922,True
large_n_03,large_n,443,2,11125,PLI,OK,5563,0.5249624252319336,100.125,True
large_n_04,large_n,441,2,10659,DP,OK,5330,0.0051958560943603516,0.34697914123535156,True
large_n_04,large_n,441,2,10659,PLI,OK,5330,0.5257108211517334,113.8359375,True
large_n_05,large_n,837,2,21051,DP,OK,10526,0.010376214981079102,0.6839389801025391,True
large_n_05,large_n,837,2,21051,PLI,OK,10526,0.5518190860748291,115.1328125,True
large_n_06,large_n,787,2,20402,DP,OK,10201,0.01224827766418457,0.6628952026367188,True
large_n_06,large_n,787,2,20402,PLI,OK,10201,0.5500223636627197,114.67578125,True
large_n_07,large_n,531,2,13255,DP,OK,6628,0.006783008575439453,0.4311542510986328,True
large_n_07,large_n,531,2,13255,PLI,OK,6628,0.5530483722686768,114.1015625,True
large_n_08,large_n,432,2,10626,DP,OK,5313,0.005289316177368164,0.34590911865234375,True
large_n_08,large_n,432,2,10626,PLI,OK,5313,0.5072689056396484,113.99609375,True
large_n_09,large_n,674,2,16571,DP,OK,8286,0.01313638687133789,0.5386753082275391,True
large_n_09,large_n,674,2,16571,PLI,OK,8286,0.5515856742858887,114.5859375,True
narrow_00,narrow,24,2,1194,DP,OK,597,0.0005376338958740234,0.030351638793945312,True
narrow_00,narrow,24,2,1194,PLI,OK,597,0.5089681148529053,112.27734375,True
narrow_01,narrow,20,2,998,DP,OK,499,0.0007042884826660156,0.024444580078125,True
narrow_01,narrow,20,2,998,PLI,OK,499,0.527651309967041,93.8046875,True
narrow_02,narrow,18,2,909,DP,OK,455,0.0006129741668701172,0.022291183471679688,True
narrow_02,narrow,18,2,909,PLI,OK,455,0.5266849994659424,112.41015625,True
narrow_03,narrow,21,2,1075,DP,OK,540,0.0003788471221923828,0.024723052978515625,True
narrow_03,narrow,21,2,1075,PLI,OK,540,0.5022811889648438,93.91796875,True
narrow_04,narrow,21,2,1023,DP,OK,513,0.0005953311920166016,0.02411937713623047,True
narrow_04,narrow,21,2,1023,PLI,OK,513,0.5525052547454834,114.40625,True
narrow_05,narrow,27,2,1331,DP,OK,666,0.0004546642303466797,0.036197662353515625,True
narrow_05,narrow,27,2,1331,PLI,OK,666,0.5003116130828857,99.6953125,True
narrow_06,narrow,27,2,1365,DP,OK,683,0.0007851123809814453,0.03811454772949219,True
narrow_06,narrow,27,2,1365,PLI,OK,683,0.526494026184082,99.77734375,True
narrow_07,narrow,23,2,1129,DP,OK,565,0.0007066726684570312,0.029912948608398438,True
narrow_07,narrow,23,2,1129,PLI,OK,565,0.4992513656616211,99.74609375,True
narrow_08,narrow,21,2,1046,DP,OK,523,0.0005252361297607422,0.025390625,True
narrow_08,narrow,21,2,1046,PLI,OK,523,0.5363409519195557,110.359375,True
narrow_09,narrow,25,2,1238,DP,OK,619,0.0007216930389404297,0.033447265625,True
narrow_09,narrow,25,2,1238,PLI,OK,619,0.5749905109405518,113.4375,True
wide_00,wide,24,2,13366,DP,OK,6683,0.0011882781982421875,0.3891334533691406,True
wide_00,wide,24,2,13366,PLI,OK,6683,0.5376818180084229,112.47265625,True
wide_01,wide,20,2,10215,DP,OK,5108,0.0006687641143798828,0.2893695831298828,True
wide_01,wide,20,2,10215,PLI,OK,5108,0.5528922080993652,114.296875,True
wide_02,wide,18,2,8254,DP,OK,4127,0.0005400180816650391,0.2261667251586914,True
wide_02,wide,18,2,8254,PLI,OK,4127,0.5260810852050781,113.46875,True
wide_03,wide,21,2,10415,DP,OK,5208,0.0005397796630859375,0.2956104278564453,True
wide_03,wide,21,2,10415,PLI,OK,5208,0.5542607307434082,113.9609375,True
wide_04,wide,21,2,8236,DP,OK,4118,0.0006849765777587891,0.23740768432617188,True
wide_04,wide,21,2,8236,PLI,OK,4118,0.5534517765045166,112.91015625,True
wide_05,wide,27,2,15354,DP,OK,7677,0.0007555484771728516,0.46240997314453125,True
wide_05,wide,27,2,15354,PLI,OK,7677,0.5770902633666992,113.58984375,True
wide_06,wide,27,2,13822,DP,OK,6911,0.0007071495056152344,0.4258575439453125,True
wide_06,wide,27,2,13822,PLI,OK,6911,0.5509805679321289,114.3203125,True
wide_07,wide,23,2,8493,DP,OK,4247,0.000659942626953125,0.2647228240966797,True
wide_07,wide,23,2,8493,PLI,OK,4247,0.5521256923675537,113.9921875,True
wide_08,wide,21,2,8338,DP,OK,4169,0.0007822513580322266,0.24541473388671875,True
